,Headline,Language,embedded_text
22,ਦੂਜਾ ਮਿਲੇ ਤੇ ਛੇਤੀ ਕਰਦਾ ਚਾਰੇ ਖਾਣ ਖੁਆਣ ਦੇ ।,Punjabi,0.23622775
23,युद्ध के बीच इज़रायल से अपना परिचालन भारत शिफ्ट कर सकती हैं टेक कंपनियां: रिपोर्ट,Hindi,0.24646857
24,यूएई के अंतरिक्षयात्री ने शेयर किया पृथ्वी की परिक्रमा करते स्पेस स्टेशन का वीडियो,Hindi,0.2622946
25,మహేష్‌ కోసం... ‘ప్రత్యేక’ కసరత్తులు,Telugu,-0.166238
26,ਸਾਰੇ ਪਿੰਡ ਨੂੰ ਇੰਜ ਮਹਿਸੂਸ            ਹੋਇਆ ਕਿ ਗਿੰਦਰ ਅਸਲ ਵਿਚ ਉਸ ਦਿਨ ਨਹੀਂ ਅੱਜ ਮਰਿਆ ਸੀ,Punjabi,0.12145409
27,ਸਿਓਲ ਸਥਿਤ ਅਮਰੀਕੀ ਦੂਤਾਵਾਸ ਵੱਲੋਂ ਨਸਲਵਾਦ ਖ਼ਿਲਾਫ਼ ਮੁਹਿੰਮ ਦਾ ਸਮਰਥਨ,Punjabi,0.15277728
28,"भारत के खिलाफ कनाडा के आरोप गंभीर, पूरी तरह जांच करने की ज़रूरत: निज्जर की हत्या पर यूएस",Hindi,0.079430446
29,"असिनच्या घरी आली नन्ही परी,अक्षयकुमारने शेअर केला फोटो !",Marathi,0.031752467
30,विनाश काले विपरीत बुद्धि: धारावाहिक 'अनुपमा' ना करने के फैसले पर नेहा पेंडसे,Hindi,0.09166583
31,यूपी के कितने सांसदों के खिलाफ दर्ज हैं आपराधिक और गंभीर आपराधिक मामले?,Hindi,0.18095914
32,महाराष्ट्राला येथेच्छ न्हाऊ घालणार्‍या पावसाची खान्देशकडे मात्र पाठ !,Marathi,0.04047347
33,कनाडा ने गलतफहमियों के चलते भारत के साथ मुक्त व्यापार समझौते पर वार्ता रोकी: पीयूष गोयल,Hindi,0.05834024
34,ਢੀਂਡਸਾ ਨੂੰ ਲੋਕ ਸਭਾ ਚੋਣ ਲੜਵਾਉਣ ਲਈ ਸੁਖਬੀਰ ਨੇ ਲਾਏ ਸੰਗਰੂਰ ਡੇਰੇ,Punjabi,0.113313265
35,ਵਿਗਿਆਨੀਆਂ ਨੇ ਅਜਿਹੀਆਂ ਦਵਾਈਆਂ ਦੀ ਪਛਾਣ ਕੀਤੀ ਹੈ ਜੋ ਪ੍ਰਯੋਗਸ਼ਾਲਾ ਅਧਿਐਨਾਂ ਵਿਚ ਕੋਰੋਨਾ ਵਾ,Punjabi,0.052733693
36,लंदन के रॉयल अल्बर्ट हॉल में परफॉर्म करने वाले दुनिया के पहले हिंदी कॉमेडियन बने ज़ाकिर खान,Hindi,0.15158528
37,"'ಕ್ರಿಕೆಟ್ ಜಗತ್ತಿನಲ್ಲಿ ಸಚಿನ್ ದೇವರು, ಧೋನಿ ರಾಜ': ಈ ರೀತಿ ಹೇಳಿದ್ಯಾರು ಗೊತ್ತಾ..?",Kannada,0.26919228
38,ਤਰ ਤਾਰਿ ਅਪਵਿਤ੍ਰ ਕਰਿ ਮਾਨੀਐ ਰੇ ਜੈਸੇ ਕਾਗਰਾ ਕਰਤ ਬੀਚਾਰੰ ॥,Punjabi,0.036437783
39,ಜೂನಿಯರ್ ಅಥ್ಲೆಟಿಕ್ಸ್​ನಲ್ಲಿ ಮೊಟ್ಟ ಮೊದಲ ಚಿನ್ನ ಪಡೆದು ದಾಖಲೆ ನಿರ್ಮಿಸಿದ ಅಸ್ಸಾಂನ ಹಿಮದಾಸ್​ ​,Kannada,0.18710469
40,दुनिया की दूसरी मलेरिया रोधी वैक्सीन को डब्ल्यूएचओ ने दी मंज़ूरी ,Hindi,0.036628246
41,ಪ್ಯಾರಿಸ್​ನಲ್ಲಿ ಫೆರಾರಿ ರೈಡ್​ನ ಮಜ ಪಡೆಯುತ್ತಿರುವ ಐಸು ಅಮೂಲ್ಯ-ಜಗದೀಶ್​​,Kannada,0.13093112
42,"ಬೊಂಬೆ ನಗರಿಯಲ್ಲಿ ಕುಡುಕರ, ಸೋಮಾರಿಗಳ ಅಡ್ಡೆಯಾದ ಗಾಂಧಿ ಭವನ",Kannada,0.48404974
43,ಮನೀಶ್ ಪಾಂಡೆ ವಿರುದ್ಧ ಸಿಟ್ಟಾಗಿ ಪೀಟರ್ಸನ್​ಗೆ ಸಿಕ್ಸರ್ ಎತ್ತಿದ ಧೋನಿ,Kannada,0.035485268
44,ಮುಂದಿನ ಲೋಕಸಭಾ ಎಲೆಕ್ಷನ್​​ ಬಳಿಕ ರಮ್ಯಾ ಮದುವೆ ಗ್ಯಾರಂಟಿ,Kannada,0.012648334
45,പുല്‍വാമയില്‍ കൊല്ലപ്പെട്ട ജവാന്മാരുടെ വായ്പകള്‍ എഴുതിത്തള്ളുമെന്ന് എസ്ബിഐ,Malayalam,0.18373041
46,"સારા ખાને બિકિની ફોટા કર્યા શેર, ટ્રોલર્સે કહ્યું, 'તમે મુસ્લિમ છો કંઈક તો શરમ કરો'",Gujarati,0.16860625
47,पुढच्या वर्षापासून कुणीही दहावी नापास होणार नाही -तावडे,Marathi,-0.106471084
48,मेरी तारीफ करने की सज़ा मिली: बीजेपी विधायक सूर्यकांता का टिकट कटने पर राजस्थान के सीएम,Hindi,0.11222697
49,ਪੰਜਾਬ ਬੋਰਡਵੀਂ ਦਾ ਰਿਜ਼ਲਟ ਜਾਰੀ  ਤੇ ਕਲਿਕ ਕਰਕੇ ਕਰੋ ਚੈੱਕ,Punjabi,0.14406776
50,ਸ਼ਹਿਰ ਕਾਦੀਆਂ ਚ ਲੁੱਟਾਂ ਖੋਹਾਂ ਚੋਰੀਆਂ ਦਾ ਸਿਲਸਿਲਾ ਲਗਾਤਾਰ ਜਾਰੀ,Punjabi,0.20826268
51,"કરીનાનાં કપડા જોઇને ભડક્યો સેફ અલી ખાન, જાણો પછી શું થયું?",Gujarati,0.21552852
52,"ஸ்தல விருட்சம் புன்னை மரம், வெளி பிரகாரத்தில் செழிப்பாக உள்ளது. சனீஸ்வரன் தனிச் சந்நிதியும், நவகிரக சந்நிதியும் கொண்டுள்ளனர். இதனையடுத்து, சுந்தரரேஸ்வரரும், ஜகதீஸ்வரரும் தனிச் சந்நிதி கொண்டுள்ளனர். தற்போது பிரம்மோற்சவத்தையடுத்து இத்திருக்கோயில் விழாக்கோலம் பூண்டுள்ளது.",Tamil,0.30611423
53,પેન્ટ પહેરવાનું ભૂલી ગઇ કાજોલની દીકરી ન્યાસા! થઇ ટ્રોલિંગનો શિકાર,Gujarati,0.040792603
54,मैथिल हिंद के लेखक राजकमल चौधर लिख तत्कालीन समाज निम्न महिल दश बय ,Hindi,0.033154383
55,फ़हद अहमद : कौन हैं स्वरा भास्कर के जीवनसाथी?,Hindi,0.2516017
56,ਦੂਜੇ ਦਿਨ ਸੋਨੀਆਂ ਮੇਰੇ ਕੋਲ ਆਈ। ਬਹੁਤ ਹੀ ਧਿਆਨ ਨਾਲ ਮੈਨੂੰ ਦੇਖਦੀ                        ਹੋਈ ਕਹਿਣ ਲੱਗੀ,Punjabi,0.15050434
57,नासा ने जारी किया ऐस्टेरॉयड का सैंपल लेकर आ रहे कैप्सूल के पृथ्वी पर उतरने का वीडियो,Hindi,0.16183573
58,"ऋतिक रोशन ने शूट पर जाने के लिए की मुंबई मेट्रो की यात्रा, कहा- शानदार अनुभव था",Hindi,-0.032689873
59,भारत में सीवर के पानी में मिला कोरोना वायरस कितना घातक?,Hindi,0.06722746
60,દિવાળી પહેલા જ તેલમાં ભળકોઃ સિંગતેલના ડબ્બાનો ભાવ ૨૦૦૦ની સપાટીને પાર,Gujarati,0.15740004
61,वर्ल्डकपसाठी अशी आहे टीम इंडिया,Marathi,0.14286347
62,ફ્લાઇટમાં કોલ્સ અને ઇન્ટરનેટ વાપરવાની મળશે છૂટ,Gujarati,-0.080662906
63,ਪੰਜਾਬ ਚ ਕਾਂਗਰਸ ਪਾਰਟੀ ਦਾ ਵਜੂਦ ਖਤਮ ਹੋਣ ਕਿਨਾਰੇ  ਅਮਨਪ੍ਰੀਤ ਖਾਲਸਾ ਰੋਡੇ,Punjabi,0.10621281
64,राजस्थान चुनाव में टिकट बंटवारे से पहले कांग्रेस कार्यकर्ताओं ने सीएम गहलोत को घेरा,Hindi,0.2644286
65,ಬಂಪರ್ ಆಫರ್: ಈ ಆ್ಯಪ್ ಬಳಸಿದರೆ ಸಿಗುತ್ತೆ ಉಚಿತ ಪೆಟ್ರೋಲ್..!,Kannada,0.11037991
66,தங்கள் திருக்கோயில் சங்கிடுவான் போதந்தார்,Tamil,0.02038892
67,ਦਿੱਲੀ ਦੇ ਰਾਮ ਲੀਲ੍ਹਾ ਮੈਦਾਨ ਚ ਤੀਜੀ ਵਾਰ ਮੁੱਖ ਮੰਤਰੀ ਵਜੋਂ ਹਲਫ਼ ਲਿਆ,Punjabi,0.042624757
68,"चीन के चिड़ियाघर पर लगा इंसान को भालू के भेष में दिखाने का आरोप, ज़ू ने जारी किया बयान",Hindi,-0.019097714
69,ನಟಿ ತಮನ್ನಾ ಮೇಲೆ ಚಪ್ಪಲಿ ಎಸೆದಿದ್ದು ಏಕೆ? ಕಾರಣ ಕೇಳಿದರೆ ದಂಗಾಗುತ್ತೀರಿ!,Kannada,0.29318824
70,ढोल ताशांच्या गजरात पाचही मानाच्या गणपतींची मिरवणूक सुरू,Marathi,-0.2163098
71,ਨਹੀਂ ਤੁਹਾਡਾ ਵਿਸ਼ਾ ਇੰਗਲਿਸ਼ ਹੈ ਇੰਗਲਿਸ਼ ਵਿਚ ਹੀ ਜਵਾਬ    ਦਿਓ,Punjabi,0.17208977
72,'मुन्नाभाई चले जेल',Marathi,0.14852509
73,நாம் பயன்படுத்தும் கார்களில் ஹேண்ட் பிரேக் ஆனது ஒரு முக்கிய பங்கு வகிக்கிறது.,Tamil,0.15180156
74,ഇന്ത്യയിലേക്ക് പണം ഒഴുക്കി വിദേശ നിക്ഷേപകര്‍: വിപണി 'പോസിറ്റീവ്' എന്ന് വിദഗ്ധര്‍,Malayalam,-0.058280148
75,ਅਰੇ ਮੇਰੇ       ਮਾਪੇ ਆਗਰਾ ਵਿੱਚ ਹਨ ਅਤੇ ਮੈਂ ਵੀ ਆਗਰਾ ਹੀ ਜਾ ਰਹੀ ਹਾਂ। ਮੈਂ ਗੱਲਬਾਤ ਨੂੰ       ਅੱਗੇ ਵਧਾਇਆ।,Punjabi,0.16466588
76,मराठवाडा विद्यापीठात विभागप्रमुखांवर प्राध्यापकाचा हल्ला,Marathi,-0.072346814
77,शादी से कुछ हफ्ते पहले तुर्किये में कुत्ते से बाइक टकराने के बाद बाइक इन्फ्लुएंसर की हुई मौत,Hindi,0.17760114
78,ਨਓ ਬੀ  ਨਿਹ ਤਾਂ ਕੰਨ ਨੂੰ ਮਾਂਤੜਾਂ ਦਾ ਈਣਾ ਹਰਾਮ ਕੰਨਗੇ  ਬਿਸ਼ਨੂੰ ਗੁਣਗੁਣਾ ਹਿਰਖ ਛਾਂਟਦਾ ਲੰਘ ਗਿਆ ।,Punjabi,0.14951013
79,ಏಷ್ಯನ್ ಗೇಮ್ಸ್​​ನಲ್ಲಿ ಬಜರಂಗ್ ಕೊರಳಿಗೆ ಚಿನ್ನದ ಹಾರ; ಈಜಿನಲ್ಲಿ ಸಾಜನ್ ಫೈನಲ್​​ಗೆ,Kannada,0.19491754
80,"एशियन गेम्स: पाकिस्तान पर शनिवार को हावी रहा भारत, स्क्वैश में छीना गोल्ड, हॉकी में रौंदा",Hindi,0.012069278
81,"21,000 રૂપિયાથી વધુ છે ડિસ્કાઉન્ટ, મળી રહ્યો છે એપલનો આ iphone",Gujarati,-0.14719711
82,સિંગતેલમાં 15 કિલોના ડબ્બાનો ભાવ રૂ.20સુધી ઘટ્યો,Gujarati,0.03933996
83,ਉਹ ਤਾਂ ਕੱਲ੍ਹ ਦਾ ਭੱਜ ਚੁੱਕਿਆ ਸੀ ਡਰ ਕੇ ਐਵੀਂ ਬਾਤਾਂ       ਤੋਂ,Punjabi,0.3060523
84,ਬਾਈ ਜਦੋਂ ਮੈਂ ਐਥੇ ਆਇਆ ਸੀ ਨ੍ਹਾਂ ਉਦੋਂ ਮੇਰਾ ਮੂੰਹ ਤੇਰੇ ਮੂੰਹ ਨਾਲੋਂ ਵੀ ਭੈੜ੍ਹਾ ਸੀ।,Punjabi,0.28866825
85,रणबीरची नवी 'गर्लफ्रेंड',Marathi,-0.04840773
86,"चीनी के सस्ते और हेल्दी विकल्प की तलाश, कितनी मुश्किल है राह",Hindi,-0.016455317
87,શું તમે જોયો 'કોમોલિકા' હિના ખાનનો બોલ્ડ અવતાર!,Gujarati,0.09500214
88,ਜਨਰਲ ਸਕੱਤਰ ਦੇ ਅਹੁਦੇ ਲਈ ਹਰਜਿੰਦਰ ਸਿੰਘ ਧਾਮੀ ਨੂੰ ਚੁਣਿਆ ਗਿਆ ਹੈ,Punjabi,0.16993196
89,ਤੁਸੀਂ ਸਾਡੇ ਪਾਠਕਾਂ ਨੂੰ ਕੀ ਸੁਨੇਹਾਂ ਦੇਣਾ ਚਾਹੋਗੇ ਜੋਸ਼ੀ ਸਾਹਿਬ।,Punjabi,0.16876961
90,उसकी मौत के लिए व्रत रखूंगा: यूपी में करवाचौथ की शॉपिंग के बाद ननदोई संग भागी महिला का पति,Hindi,0.09879917
91,भारत ने एशियन गेम्स के इतिहास में सेपक टाकरा के महिला वर्ग में अपना पहला पदक जीता,Hindi,0.010045801
92,ਵੱਡੀ ਈਦਗਾਹ ਕਮੇਟੀ ਵਲੋਂ ਈਦ ਦੀ ਨਮਾਜ਼ ਈਦਗਾਹ ਚ ਅਦਾ ਕਰਨ ਲਈ ਐਸਡੀਐਮ ਨੂੰ  ਦਿੱਤਾ ਮੰਗ ਪੱਤਰ,Punjabi,0.14113848
93,ਘਰ ਪਰਤਣ ਤੋਂ ਬਾਅਦ ਫ਼ਿਲਹਾਲ ਮਰੀਜ਼ ਘਰ ਵਿਚ ਆਪਣੇ ਕਮਰੇ ਵਿਚ ਹੀ ਇੱਕ ਹਫ਼ਤੇ ਲਈ ਕੁਆਰੰਟੀਨ ਹਨ।,Punjabi,0.16139111
94,कोण्डागांव कार्यालय मुख्य चिकित्सा एवं स्वास्थ्य अधिकारी कोण्डागांव द्वारा जारी विज्ञप्ति अनुसार छग शासन स्वास्थ्य एवं परिवार कल्याण मंत्रालय महानदी,Punjabi,0.090387166
95,पुदिन्याची कापणी करणाऱ्या सलमानचं युपीएससीत यश,Marathi,-0.06484947
96,ਲੇਖਕਾਂ ਨੇ ਸ੍ਰੀ ਰਾਜੀਵ ਗਾਂਧੀ ਵੱਲੋਂ ਸੰਤ ਲੌਂਗੋਵਾਲ ਨਾਲ ਕੀਤੇ ਸਮਝੌਤੇ ਦੀ ਭਰਪੂਰ ਪ੍ਰਸੰਸਾ ਕੀਤੀ ਹੈ ਭਾਵੇਂ ਕਿ,Punjabi,0.053651966
97,पाकिस्तानी कलाकारांसोबत काम करणार नाही - अजय देवगण,Marathi,-0.020999482
98,धर्मशाला के स्टेडियम में मैच से पहले पिच का मुआयना करते स्निफर कुत्तों की तस्वीर हुई वायरल,Hindi,0.1464668
99,क़रीब तीन दशक सिवान भाकप माल राष्ट्रीय जन दल के राजनीतिक दुश्म चरम रह दोन चुनाव लड़ रह ,Hindi,-0.025869716
100,ਬਾਪੂ ਧਾਮ ਕਲੋਨੀ ਵਿੱਚ ਕੰਟੇਨਮੈਂਟ ਜ਼ੋਨ ਐਲਾਨੇ ਖੇਤਰਾਂ ਚ ਰਹਿੰਦੇ ਲੋਕ ਸੋਮਵਾਰ ਨੂੰ ਚੰਡੀਗੜ੍ਹ ਪ੍ਰਸ਼ਾਸਨ ਖ਼ਿਲਾਫ਼ ਨਾਅਰੇਬਾਜ਼ੀ ਕਰਦੇ ਹੋਏ।,Punjabi,0.06924633
101,"બોલ્ડ લુકમાં જોવા મળી રાધિકા આપ્ટે, સોશિયલ મીડિયામાં થઇ ટ્રોલ",Gujarati,-0.18474461
102,"कोल्हापूर ते सांगली रेल्वे मार्गावर मेगाब्लॉक, मिरज शेवटचा थांबा",Marathi,0.051079165
103,"CEOના મોત સાથે લોક થઈ અબજોની ક્રિપ્ટોકરન્સી, લાખો ગ્રાહક મુશ્કેલીમાં",Gujarati,0.099870026
104,"ஆம் ஆத்மி கட்சி ஒருங்கிணைப்பாளரும், டெல்லி முதல்வருமான அரவிந்த் கேஜ்ரிவால், நடிகர் கமல்ஹாசன் இன்று சந்திக்கவிருக்கிறார்.",Tamil,0.11621753
105,ਕਾਲਜ਼ ਦਾ ਸਟਾਫ ਅਤੇ ਕਮੇਟੀ ਸਭ ਉਸ ਦੀ ਮੰਨਦੇ ਹਨ।,Punjabi,0.0054170373
106,ईसी ने प्रलोभन मुक्त चुनाव कराने को लेकर इलेक्शन सीज़र मैनेजमेंट सिस्टम किया लॉन्च,Hindi,0.22128052
107,மாணவ சமுதாயத்தின் மீது விஜய் அவர்களும் அவர் தம் இயக்கத் தோழர்களும் எந்தளவு மதிப்பும் மரியாதையும் வைத்திருக்கின்றனர் என்பதை நாடு நன்கு அறியும்.,Tamil,0.10220876
108,ਡਿਪਟੀ ਕਮਿਸ਼ਨਰ ਅਪਨੀਤ ਰਿਆਤ ਨੇ ਕਿਹਾ ਕਿ ਕੋਵਿਡ ਦੇ ਮੱਦੇਨਜ਼ਰ ਪੰਜਾਬ ਸਰਕਾਰ,Punjabi,0.2188227
109,"एकटक पाहत डोळा मारला, कोर्टाने सुनावली ३ वर्षांची शिक्षा",Marathi,0.24318956
110,ਕਨੇਡਾ ਪਤਾ ਨਹੀਂ ਮੈਂ ਕਿਉਂ            ਹੈਰਾਨ ਜਿਹਾ ਹੋ ਕੇ ਪੁਛਿੱਆ।,Punjabi,0.0880567
111,ਚੰਦਨ ਨੇ ਤਾਂ ਚੰਦਨ ਰਹਿਣਾ ਇਹ ਸਭ ਕੁਦਰਤ ਦਾ ਵਰਦਾਨ,Punjabi,0.091252744
112,"श्रद्धा कपूर को महादेव बेटिंग ऐप घोटाला में ईडी ने भेजा समन, आज हो सकती हैं पेश: रिपोर्ट्स",Hindi,0.19285744
113, राजस्थान में धौलपुर विधानसभा सीट से एक-दूसरे के खिलाफ चुनाव लड़ रहे हैं जीजा-साली ,Hindi,0.051453575
114,'भारत' का मतलब बताते पीएम मोदी का पुराना वीडियो हुआ वायरल,Hindi,0.12949336
115,"वकील व महुआ के पूर्व पार्टनर जय अनंत ने पुलिस को लिखा पत्र, कहा- मुझे अपनी जान का खतरा है",Hindi,0.06043562
116,அரசியலில் உள்ளவர்களுக்கு மந்த நிலை மாறி வேகம் பிடிக்கும். தனலாபம் அதிகரிக்கும். சிறப்பான பலன் கிடைக்க பெறுவீர்கள். புதிய பொறுப்புகள் சேரும்.,Tamil,0.15502265
117,ਸਿਖ਼ਸ ਫਾਰ ਜਸਟਿਸ ਸੰਗਠਨ ਤੇ ਭਾਰਤ ਨੇ ਅੱਤਵਾਦੀ ਸੰਗਠਨ ਵਜੋਂ ਪਾਬੰਦੀ ਲਗਾਈ ਹੈ।,Punjabi,0.103574894
118,ਸਭ ਕੁੱਝ ਦੇ ਬਾਵਜੂਦ ਮੈਂ ਜੱਗੀ ਕੁੱਸਾ ਕੋਲ਼ੋਂ ਹਾਲੇ ਸ਼ਾਹਕਾਰ ਨਾਵਲ       ਲਿਖੇ ਜਾਣ ਦੀ ਤਵੱਕੋਂ ਕਰਦੀ ਹਾਂ।,Punjabi,0.1608939
119,जातीय गणना बिहार की जनता में भ्रम फैलाने के सिवा कुछ नहीं है: गिरिराज सिंह ,Hindi,0.051556926
120,ਹਾਲ ਹੀ ਵਿੱਚ ਅੰਮ੍ਰਿਤਸਰ ਵਿੱਚ ਇੱਕ ਦਿਨ ਵਿੱਚ ਨਵੇਂ ਕੇਸ ਸਾਹਮਣੇ ਆਏ ਜਿਨ੍ਹਾਂ ਵਿੱਚ ਇੱਕ ਹੀ ਪੌਜ਼ੀਟਿਵ ਕਾਨਟੈਕਟ ਦੇ ਹਨ।,Punjabi,0.15822342
121,"જુની નોટો બદલવા માટે બેંકોમાં ભીડ, નવી નોટ મળવાનું થયું શરૂ",Gujarati,0.031073522
122,"बेटी को पहली बार पीरियड्स होने पर उत्तराखंड में शख्स ने दी पार्टी, केक काटकर मनाया जश्न",Hindi,0.022850886
123,फक्त चार लाख सापडले हा अजित पवारांचा अपमान -संजय राऊत,Marathi,0.068660885
124,आॅस्ट्रेलियन ओपनमध्ये सानिया पराभूत,Marathi,-0.056766495
125,ਸਰੀਰ ਵਿਚ ਦਰਦ ਗਲ਼ੇ ਵਿਚ ਖਾਜ ਤੇ ਸਿਰਦਰਦ ਵੀ ਹੋ ਸਕਦੇ ਹਨਪਰ ਇਹ ਪੱਕਾ ਨਹੀਂ ਹੈ।,Punjabi,0.058946878
126,ഇന്ത്യന്‍ യുവനിരയ‌്ക്ക‌് തോല്‍വി,Malayalam,-0.07182156
127,ਵਿਵੇਕ ਨੇ ਐਗਜਿਕਟ ਪੋਲ ਦੇ ਬਹਾਨੇ ਐਸ਼ਵਰਿਆ ਦਾ ਉਡਾਇਆ ਮਜ਼ਾਕ,Punjabi,0.16720113
128,ਨਾਗਰਿਕਤਾ ਸੋਧ ਕਾਨੂੰਨ ਤੇ ਰਾਸ਼ਟਰੀ ਨਾਗਰਿਕ ਰਜਿਸਟਰ ਲਾਗੂ ਨਹੀਂ ਹੋਣ ਦੇਵਾਂਗੀ  ਮਮਤਾ ਬੈਨਰਜੀ,Punjabi,0.07449007
129,मैनचेस्टर यूनाइटेड के पूर्व मैनेजर सर ऐलेक्स फर्ग्यूसन की पत्नी कैथी का हुआ निधन,Hindi,-0.01259439
130,ਬੀਬੀਸੀ ਪੱਤਰਕਾਰ ਜਸਪਾਲ ਸਿੰਘ ਮੁਤਾਬਕ ਨਿਦਾਨ ਸਿੰਘ ਸਚਦੇਵਾ ਨਾਲ ਦੇ ਕਰੀਬ ਹੋਰ ਸਿੱਖ ਵੀ ਦਿੱਲੀ ਪਹੁੰਚੇ।,Punjabi,0.126484
131,"नीदरलैंड्स में शख्स ने यूनिवर्सिटी हॉस्पिटल व अपार्टमेंट में की अंधाधुंध फायरिंग, कई लोगों की मौत",Hindi,0.08216063
132,రోహిత్‌ ఔట్‌!,Telugu,0.06012028
133,ਧਾਰਮਿਕ ਤਿਉਹਾਰਾਂ ਤੇ ਕੀਤੀਆਂ ਜਾਣ ਵਾਲੀਆਂ ਛੁੱਟੀਆਂ ਬਾਰੇ ਤਰਕਸ਼ੀਲ                  ਕੀ ਸੋਚਦੇ ਹਨ,Punjabi,-0.120200925
134,"SBIમાં આ રીતે ખોલો મિનિમમ બેલેન્સ વગરનું સેવિંગ એકાઉન્ટ, શું છે પ્રોસેસ?",Gujarati,0.08633527
135,यूनिवर्सिटी में मुख्य अतिथि बनकर पहुंचे ज़िंदगी में कभी कॉलेज नहीं जाने वाले निखिल कामत,Hindi,0.03717391
